po_number,vendor,amount,description
PO-2081,Beacon Hosting Co.,840.00,Cloud hosting — July
PO-2082,Fieldstone Office Supply,312.45,Office supplies restock
PO-2083,Cobalt Cloud Services,1188.00,Team seats — annual tier
PO-2084,Juniper Print Studio,455.00,Brochure print run
PO-2085,Alto Logistics,2140.00,Freight — Q3 shipment
PO-2086,Marlow & Finch Legal,1500.00,Contract review retainer
PO-2087,Quarry Analytics,624.00,Data plan — July
PO-2088,Hartline Catering,389.60,Offsite lunch
PO-2089,Beacon Hosting Co.,840.00,Cloud hosting — August
PO-2090,Pemberton Facilities,760.00,Office deep clean
PO-2091,Cobalt Cloud Services,1188.00,Team seats — renewal
